region,listing_no,listing_title,point_name,point_type,latitude,longitude,os_grid_ref,access_notes,description,category
North Wales,5,"Llyn Barfog, Aberdovey",Carn March Arthur,nearby_feature,52.5644,-3.9925,SN650981,Hoof-print stone; 700m from Llyn Barfog,A stone beside a footpath leading to Llyn Barfog bears a hoof print made by King Arthur's horse during his fierce battle with the afanc and is known as Carn March Arthur.,natural stones
North Wales,5,"Llyn Barfog, Aberdovey",Trailhead Parking,trailhead,52.5683,-4.0079,SN640986,1.5km,Trailhead / parking for Llyn Barfog (1.5km).,natural water features
North Wales,6,"Llyn Cynwch, Llanelltyd",Llyn Cynwch,main,52.7724,-3.8711,SH738210,,"According to legend a whole fairy kingdom lies hidden below the surface of Llyn Cynwch, a lake on the southern edge of Snowdonia National Park. A servant from the Nannau estate was on his way to visit his sweetheart at Dol-y-clochydd on the opposite side of the lake when he accidentally fell into the water. He sank down and down but instead of drowning he suddenly found himself on dry land where, welcomed by a little man, he attended a great feast where he stayed for hours until he remembered his sweetheart had been expecting him. The little man led him along a tunnel, then up a staircase that climbed higher and higher until it emerged from behind the hearth in the very house where his sweetheart worked. Amazed by this experience, his shock increased when he learned he had been missing for many months. A serpent-like dragon known as a wiber was also said to terrorise the area around Llyn Cynwch, devouring its victims after paralysing them with a malevolent stare. However, a quick-thinking shepherd chanced upon the wiber as it slept on the hillside below the ancient hillfort of Foel Faner and, driving a stake through its eye, he killed it. A cairn was raised over the wiber's body and became known as Carnedd y Wiber. Llyn Cynwch is in a beautiful location surrounded by mountains and woodland, and a footpath, the 'Precipice Walk,' passes over the hills on the western side of the lake and gives dramatic views across the landscape.",natural water features
North Wales,6,"Llyn Cynwch, Llanelltyd",Carnedd y Wiber,nearby_feature,52.7664,-3.8778,SH734204,Cairn over the slain wiber,"A serpent-like dragon known as a wiber was said to terrorise the area around Llyn Cynwch, devouring its victims after paralysing them with a malevolent stare. A quick-thinking shepherd chanced upon the wiber as it slept on the hillside below the ancient hillfort of Foel Faner and, driving a stake through its eye, he killed it. A cairn was raised over the wiber's body and became known as Carnedd y Wiber.",burial chambers
North Wales,6,"Llyn Cynwch, Llanelltyd",Trailhead Parking,trailhead,52.7737,-3.8609,SH745211,1.3km,Trailhead / parking for Llyn Cynwch (1.3km).,natural water features
North Wales,7,"Llyn Tegid, Bala",Llyn Tegid (car park),main,52.9059,-3.6045,SH921354,Parking,"A magical island in the largest natural lake in Wales, Llyn Tegid (Bala Lake), was once the legendary home of the goddess Ceridwen and her giant husband Tegid Foel. There, for a year and a day, she brewed a potion in a huge cauldron that would bestow ultimate wisdom (awen) upon her ugly and stupid son Afagddu. While a boy, Gwion, was tending the cauldron on the last day, the first three drops of the hot potion spattered on his thumb, which he accidentally sucked and thereby took all the wisdom for himself. Gwion fled and Ceridwen followed him in a rage but the boy shape-shifted three times turning into a hare, a salmon, and then a bird. Gwion eventually transformed himself into a grain of wheat and hid in a granary but Ceridwen, having spotted him, turned into a hen and ate him. Nine months later Ceridwen gave birth to the transformed Gwion who eventually became known as the famous bard Taliesin (see Bedd Taliesin). In another story, the lake formed when some careless person forgot to put the lid back on the well at Llangower, which overflowed and drowned the valley and old Bala town in just one night. Some say the lake is rising still and will one day submerge the new town of Bala on the northeastern shore, and that on certain nights the lights from a palace can still be seen shining from the depths. Llyn Tegid was also thought to be bottomless and when an attempt was made to ascertain its depth, a disembodied voice echoed over the water: “Line cannot fathom me. Go, or I will swallow you up!” In more recent years, there have been occasional sightings of a water monster described as having a long, humpbacked body and big eyes. Nicknamed 'Teggie', the monster was the subject of a Japanese TV documentary in 1995 and visitors still hope to catch a glimpse of this elusive creature who may be the embodiment of Ceridwen's husband Tegid Foel, the spirit of Llyn Tegid.",natural water features
North Wales,8,"Llyn y Dywarchen, Rhyd-Ddu",Llyn y Dywarchen,main,53.058,-4.1508,SH559533,,"There was once a mysterious floating island on Llyn y Dywarchen, a small grassy knoll that the wind blew back and forth across the surface of the lake. It was here that a fairy bride met with her mortal husband after she had been forbidden to walk the earth with any human being. The couple had first met on the slopes of nearby Moel Eilio while he was tending his sheep and he was allowed to marry the fairy woman on the condition that her skin was never touched by iron. They lived happily together with their two children for many years, until one day the fairy's leg accidentally brushed against her horse's stirrups and she left that night. From that time, the husband could only see his wife when she appeared on the mysterious floating island, a liminal place, belonging to neither this world nor the Otherworld, and they would talk when the island drifted close to the shore. Today the only island on Llyn y Dywarchen is fixed and motionless though it is still a liminal place with a magical otherworldly atmosphere. The lake with its backdrop of mountains is in a spectacular setting. Views of the slopes of Moel Eilio can be enjoyed from the campsite on the shores of Llyn Cwellyn. Fairies were said to dance in the meadows around the lake's shores where the enticing strains of fairy music could be heard on moonlit nights. One man was drawn into the dance but when he stepped into the ring he was transported to a beautiful country. He had arranged to meet his sweetheart and after a few hours of dancing decided to go on his way. The fairies allowed him to leave but on returning he found his parents dead and his sweetheart married to another man. He had been gone for seven years and he died of a broken heart within a week.",natural water features
North Wales,8,"Llyn y Dywarchen, Rhyd-Ddu",Moel Eilio,nearby_feature,53.0974,-4.1582,SH555577,Where the couple first met,"The couple had first met on the slopes of nearby Moel Eilio while he was tending his sheep, and he was allowed to marry the fairy woman on the condition that her skin was never touched by iron.",hills
North Wales,8,"Llyn y Dywarchen, Rhyd-Ddu",Llyn Cwellyn campsite,nearby_feature,53.0663,-4.143,SH565542,Views of Moel Eilio,Views of the slopes of Moel Eilio can be enjoyed from the campsite on the shores of Llyn Cwellyn.,other
North Wales,8,"Llyn y Dywarchen, Rhyd-Ddu",Llyn Cwellyn parking,trailhead,53.0733,-4.1445,SH564550,,Trailhead / parking for Llyn y Dywarchen.,natural water features
North Wales,9,"Merlin's Cave, Bardsey Island",Merlin's Cave / Bardsey Island,main,52.7626,-4.7859,SH121219,,"Pilgrims once flocked to Ynys Enlli, the holy island of Bardsey, where it is said the bodies of 20,000 saints lie buried, but according to some tales it is also the final resting place of the wizard Merlin. Bardsey Island sits a few kilometres off the tip of the Lleyn Peninsula and the island is dominated by a steep hill called Mynydd Enlli where Merlin is said to be sleeping in a cave there with the Thirteen Treasures of Britain. These treasures comprised the following items, each with unique magical properties: Dyrnwyn, the Sword of Rhydderch Hael; The Hamper of Gwyddno Garanhir; The Horn of Bran; The Chariot of Morgan Mwynfawr; The Halter of Clydno Eiddyn; The Knife of Llawfrodedd the Horseman; The Cauldron of Dyrnwch the Giant; The Whetstone of Tudwal Tudglyd; The Coat of Padarn Beisrudd; The Crock, and also the Dish of Rhygenydd Ysgolhaig; The Chessboard of Gwenddoleu; The Mantle of Arthur in Cornwall. Many of the characters referred to are actual historical figures who come from the Scottish Borders region of the 6-7th centuries, an area referred to in Welsh history as Yr Hen Ogledd, 'The Old North', and in particular the kings of Alcluid, the Rock of Dumbarton. The entrance to Merlin's cave on the western slope of Mynydd Enlli is marked by three white quartz boulders. It is also known as the Hermit's Cave after a more recent inhabitant. The cave entrance is small and can only be entered by crawling, but once inside it opens into a cramped cell blocked off by a low wall. Expect to find animal bones inside and big spiders! At the foot of Mynydd Enlli sits the farmhouse Plas-bach where a remarkable apple tree grew against the wall, producing a variety of apple unique to the island. Only the roots of the original tree survive but propagation has ensured that 'Merlin's Apple' is still cultivated and for some, Bardsey's association with Avalon, the Isle of Apples of Arthurian legend, continues. Little remains of the medieval St Mary's Abbey built on the site of the original 6th century Celtic monastery but it is said the spirits of monks can sometimes be seen there before a storm lashes the island. A number of ancient pilgrimage routes once led here from across Wales, including one from St Bueno's Chapel and another from Lllandanwg. The last stop for pilgrims before crossing to Bardsey Island was Ffynnon Fair, St Mary's Well, a freshwater spring that flows into a natural basin at the edge of the rocky shoreline on the mainland. The well is submerged when the tide is in but when the sea recedes fresh water fills the well. It was customary to make a wish by holding a mouthful of spring water while walking three times around ruined St Mary's chapel nearby.",wild places
North Wales,9,"Merlin's Cave, Bardsey Island",St Mary's Abbey,nearby_feature,52.7643,-4.7876,SH120221,Medieval abbey ruins on the island,"Little remains of the medieval St Mary's Abbey, built on the site of the original 6th century Celtic monastery, but it is said the spirits of monks can sometimes be seen there before a storm lashes the island.",sacred buildings
North Wales,9,"Merlin's Cave, Bardsey Island",Ffynnon Fair / St Mary's Well,nearby_feature,52.7921,-4.7612,SH139251,Mainland pilgrims' well,"The last stop for pilgrims before crossing to Bardsey Island was Ffynnon Fair, St Mary's Well, a freshwater spring that flows into a natural basin at the edge of the rocky shoreline on the mainland. The well is submerged when the tide is in but when the sea recedes fresh water fills the well. It was customary to make a wish by holding a mouthful of spring water while walking three times around ruined St Mary's chapel nearby.",wells
North Wales,9,"Merlin's Cave, Bardsey Island",Plas-bach,nearby_feature,52.7604,-4.7887,SH119217,Farmhouse with 'Merlin's Apple' tree,"At the foot of Mynydd Enlli sits the farmhouse Plas-bach where a remarkable apple tree grew against the wall, producing a variety of apple unique to the island. Only the roots of the original tree survive but propagation has ensured that 'Merlin's Apple' is still cultivated, and for some, Bardsey's association with Avalon, the Isle of Apples of Arthurian legend, continues.",other
North Wales,9,"Merlin's Cave, Bardsey Island",Trailhead,trailhead,52.7605,-4.7884,SH119217,400m,Trailhead / parking for Merlin's Cave / Bardsey Island (400m).,wild places
North Wales,9,"Merlin's Cave, Bardsey Island",Boat Trip from Porth Meudwy,trailhead,52.796,-4.7262,SH162255,££££££,"Departure point for the boat trip across to Bardsey Island, from Porth Meudwy.",wild places
North Wales,10,Mount Snowdon,Mount Snowdon (summit),main,53.0684,-4.0762,SH609543,Very Popular,"The highest mountain in Wales Snowdon and its lakes and valleys are fairy-haunted places that also feature strongly in local Arthurian legend. The Welsh name for Snowdon is Yr Wyddfa, meaning 'the tumulus' – a reference to a legend that a mound on the summit was the burial place of the giant Rhitta Gawr after King Arthur killed him (see Bwlch y Groes). Arthur himself was said to have set out from Dinas Emrys to face his enemies in battle but was killed in a hail of arrows during an ambush at Bwlch y Saethau close to Snowdon's summit. A cairn was raised over his body but this no longer exists. After his death, Sir Bedivere (Bedwyr) took the sword Excalibur and returned it to the Lady of the Lake at Llyn Llydaw. Arthur's army is said to lie sleeping in a hidden cave called Ogof Llanciau Eryri high in the cliffs overlooking the lake, awaiting the day when the king returns to defend Britain. A shepherd once found his way into the cave and accidentally brushed against a bell, at which sound the warriors woke briefly but were angered at being roused too early. Snowdon was also said to be inhabited by eagles that could foretell the outcome of a battle depending on how high they flew over the peaks. A smaller lake, Glaslyn, lies above Llyn Llydaw just below Snowdon's summit. It was in this lake that a fearsome afanc (water monster) was deposited after being dragged by two oxen from the river Conwy near Betws y Coed. Reputed to be bottomless, Glaslyn had a somewhat sinister reputation in the past: its waters were said to be teeming with monstrous fish and no birds would fly over the lake. However, a shepherd who helped a fairy woman he encountered near the lake was richly rewarded. He found the young fairy with her baby, shivering and dressed only in rags, in a dilapidated hut. After the kindly shepherd gave the fairy his shirt to wrap the baby in he found a silver coin in his old clog every evening and over time became a prosperous landowner. Fairies and other strange creatures are said to dance on the shores of Llyn du'r Arddu on Snowdon's northern flank. This small lake has a remote and eerie feel with a fairy-bride legend very similar to those of other Welsh lakes, namely that a mortal man married one of the lake fairies but lost his bride after touching her with iron. There is also a large boulder by the lake Maen du'r Arddu with a smaller rock on top of it. If two people were to spend the night here it is said one will awake a poet but the other will be mad. Fairies are also said to inhabit Cwm y Llan, a valley on the southern side of Snowdon. A shepherd once heard a loud wailing coming from beneath a large boulder in the valley, which he moved and set free the fairy who had been trapped beneath. In gratitude the shepherd was given a magical walking stick and from that time all the ewes in his flock gave birth to twins until years later, when a flood swept away his stick, taking with it all his luck. To the north of Snowdon is Nant Peris village where the waters of St Peris's holy well Ffynnon Beris were reputed to heal conditions such as rickets, scrofula and rheumatism. There were two fish in the well and if they emerged during bathing the cure would be successful; if they remained hidden the visit would have been in vain. Needless to say, those seeking a cure tried to tempt the fish out with pieces of bread sprinkled on the water before bathing. Prior to this, an eel living in the well would coil itself around bathers who were going to be cured. All went well until one day it coiled itself around a little girl who died of fright! The well now lies in a private garden and permission must be sought before visiting. Lying at the heart of Snowdonia National Park, Mount Snowdon is one of the most visited places in Wales with thousands of people climbing the summit and exploring the lakes and surrounding countryside every year. Numerous walking paths wind their way up the mountainside and the Snowdon Mountain Railway has carried passengers to the summit from Llanberis since 1896. The giant Rhitta's burial mound no longer exists and the summit has been flattened to make way for a café and gift shop, but the views alone make the ascent worthwhile. On a clear day you can take in the whole of Anglesey and the Lleyn Peninsula before hiking downhill through a magically enchanted landscape.",hills
North Wales,10,Mount Snowdon,"Snowdon Mountain Railway, Llanberis",trailhead,53.1159,-4.1194,SH582597,££££ one way; advance booking essential,The Snowdon Mountain Railway has carried passengers to the summit from Llanberis since 1896 – an alternative to walking up.,hills
North Wales,10,Mount Snowdon,Bwlch y Saethau,nearby_feature,53.0665,-4.069,SH614541,Site of Arthur's ambush; 850m from summit,"Arthur himself was said to have set out from Dinas Emrys to face his enemies in battle but was killed in a hail of arrows during an ambush at Bwlch y Saethau, close to Snowdon's summit. A cairn was raised over his body but this no longer exists.",wild places
North Wales,10,Mount Snowdon,Llyn Llydaw,nearby_feature,53.0691,-4.0488,SH628543,Excalibur returned here; 3km from summit,"After Arthur's death, Sir Bedivere (Bedwyr) took the sword Excalibur and returned it to the Lady of the Lake at Llyn Llydaw. Arthur's army is said to lie sleeping in a hidden cave called Ogof Llanciau Eryri high in the cliffs overlooking the lake, awaiting the day when the king returns to defend Britain.",natural water features
North Wales,10,Mount Snowdon,Glaslyn,nearby_feature,53.0713,-4.0639,SH618546,Afanc lake; 1.7km from summit,"A smaller lake, Glaslyn, lies above Llyn Llydaw just below Snowdon's summit. It was in this lake that a fearsome afanc (water monster) was deposited after being dragged by two oxen from the river Conwy near Betws y Coed. Reputed to be bottomless, Glaslyn had a somewhat sinister reputation: its waters were said to be teeming with monstrous fish and no birds would fly over the lake.",natural water features
North Wales,10,Mount Snowdon,Llyn du'r Arddu,nearby_feature,53.0803,-4.0892,SH601557,Fairy-bride lake; 1.7km from summit,Fairies and other strange creatures are said to dance on the shores of Llyn du'r Arddu on Snowdon's northern flank. This small lake has a remote and eerie feel with a fairy-bride legend very similar to those of other Welsh lakes: a mortal man married one of the lake fairies but lost his bride after touching her with iron.,natural water features
North Wales,10,Mount Snowdon,Maen du'r Arddu,nearby_feature,53.0823,-4.0981,SH595559,Poet-or-madman boulder,"There is a large boulder by the lake called Maen du'r Arddu, with a smaller rock on top of it. If two people were to spend the night here it is said one will awake a poet but the other will be mad.",natural stones
North Wales,10,Mount Snowdon,Cwm y Llan,nearby_feature,53.0498,-4.0669,SH615522,"Fairy valley, southern side","Fairies are also said to inhabit Cwm y Llan, a valley on the southern side of Snowdon. A shepherd once heard a loud wailing coming from beneath a large boulder in the valley, which he moved, setting free the fairy trapped beneath. In gratitude he was given a magical walking stick, and from that time all the ewes in his flock gave birth to twins until years later a flood swept away his stick, taking with it all his luck.",wild places
North Wales,10,Mount Snowdon,Cwm y Llan Trailhead Parking,trailhead,53.0359,-4.0477,SH627506,2.8km,Trailhead / parking for Mount Snowdon (summit) (2.8km).,hills
North Wales,10,Mount Snowdon,Ffynnon Beris,nearby_feature,53.1043,-4.0799,SH608583,Holy well at Nant Peris; private land,"To the north of Snowdon is Nant Peris village where the waters of St Peris's holy well Ffynnon Beris were reputed to heal conditions such as rickets, scrofula and rheumatism. There were two fish in the well: if they emerged during bathing the cure would be successful; if they remained hidden the visit would have been in vain. The well now lies in a private garden and permission must be sought before visiting.",wells
North Wales,11,Rock of Harlech,Rock of Harlech,main,52.8599,-4.1092,SH580312,Popular ££,"Medieval Harlech Castle is built upon the ancient Rock of Harlech, a massive outcrop which, according to traditional folklore, is where Welsh hero Bran the Blessed's fortress was located. From Harlech, Bran and his men set out to Ireland to rescue his sister Branwen from her disastrous marriage to the Irish king Matholwch. A huge fleet of ships set sail but Bran was so gigantic he could wade across the Irish Sea on foot! During the ensuing battle Bran was mortally wounded and requested that his companions cut off his head and bury it at the White Mount, where the Tower of London now stands. The decapitated head could still speak and kept them company with his good humour. They returned to Harlech for seven years, and then spent a further 80 years on Gwales, a magical island (possibly Grassholm off the Pembrokeshire coast) before finally taking Bran's head to the White Mount. Now a World Heritage Site, Harlech Castle is an impressive ruin where you can look out to sea and conjure up visions of legendary expeditions.",natural stones
North Wales,12,"St Beuno's Well & Chapel, Clynnog-Fawr",St Beuno's Well,main,53.0187,-4.367,SH413494,,"Pilgrims walking to Bardsey Island could stop off at St Beuno's Well and Chapel to partake in a healing ritual. After bathing in the well, the sick would spend the night spread out on St Beuno's cold stone tomb. If they could sleep, the cure would be effective. At the present-day church at Clynnog-Fawr, a narrow passageway leads to St Beuno's Chapel, thought to have been built on the site of the original 7th century chapel where St Beuno is buried. An ancient chest carved from a single ash log and once used to collect alms from the pilgrims can still be found in the church, along with a stone where St Beuno inscribed a cross with his thumb. The well, surrounded by a rectangular stone enclosure, lies a short distance from the church alongside the road.",wells
North Wales,12,"St Beuno's Well & Chapel, Clynnog-Fawr",St Beuno's Chapel,nearby_feature,53.0208,-4.3655,SH414496,At Clynnog-Fawr church,"At the present-day church at Clynnog-Fawr, a narrow passageway leads to St Beuno's Chapel, thought to have been built on the site of the original 7th century chapel where St Beuno is buried.",sacred buildings
North Wales,13,"St Cybi's Well, Llangybi",St Cybi's Well,main,52.9457,-4.3421,SH427412,,"The picturesque ruins of St Cybi's Well lie in a secluded spot on the outskirts of Llangybi. The healing spring waters collect in two well chambers before flowing out along stone-lined channels across a grassy meadow. At one time a sacred eel lived in the well and when it coiled itself around a sufferer's legs, healing would be successful. Young women also performed a divination ritual at the well to determine a lover's faithfulness. If a rag thrown into the water floated south he would be loyal, but if the rag went north then only disappointment awaited. The ruinous state of the well and attached building only enhances the romantic and magical atmosphere of this place through which the healing waters still flow strongly.",wells
North Wales,13,"St Cybi's Well, Llangybi",Trailhead,trailhead,52.9448,-4.3398,SH428411,200m,Trailhead / parking for St Cybi's Well (200m).,wells
North Wales,14,"Bryn Celli Ddu, Llanddaniel Fab",Bryn Celli Ddu,main,53.2077,-4.2362,SH507701,,"The reconstructed Neolithic burial mound of Bryn Celli Ddu, 'The Mound in the Dark Grove', is one of Wales' most iconic prehistoric landmarks. The entrance to the round grassy mound, flanked by large stone slabs, leads to a narrow interior passage that opens out into an octagonal chamber. As the sun rises on the summer solstice, a ray of light aligns with the passageway and illuminates this internal chamber. Inside it is an unusual stone pillar, its phallic shape suggesting past associations with fertility, where people often leave offerings. Another standing stone outside the mound is incised with sinuous carvings and known as the Pattern Stone.",burial chambers
North Wales,15,Holyhead Mountain,Holyhead Mountain,main,53.3134,-4.6755,SH218829,,"Off the western side of Anglesey, Holy Island was once Anglesey's most sacred place, both to the ancient Druids and in later Celtic Christianity. Its highest point is Holyhead Mountain and a hillfort, standing stones and traces of other ancient constructions are all found in the vicinity of the mountain, which has been a significant landmark for millennia. In the 6th century St Cybi founded a monastic settlement in Holyhead within the old Roman fort, where the medieval St Cybi's Church still stands. St Cybi was said to meet up regularly with St Seiriol from Penmon on the other side of Anglesey (see St Seiriol's Well). Walking eastwards in the morning and returning westwards in the evening, St Cybi always faced the sun and so was known as St Cybi the Tawny. St Seiriol, who travelled in the opposite direction and didn't catch the sun, became known as St Seiriol the Fair. They met at St Cybi's Well in the centre of Anglesey. This curious tale linking the three sites with the passage of the sun possibly has some astrological significance. Towards the southern end of Holy Island at St Gwenfaen's Well a traditional offering of two white quartz pebbles dropped into the water was said to cure mental illness. The spring is surrounded by the remains of a drystone well-house standing in an exposed location at the top of a cliff.",hills
North Wales,15,Holyhead Mountain,Trailhead,trailhead,53.3121,-4.6658,SH225827,1km,Trailhead / parking for Holyhead Mountain (1km).,hills
North Wales,15,Holyhead Mountain,St Cybi's Church,nearby_feature,53.3116,-4.6325,SH247826,Medieval church within the old Roman fort,"In the 6th century St Cybi founded a monastic settlement in Holyhead within the old Roman fort, where the medieval St Cybi's Church still stands.",sacred buildings
North Wales,15,Holyhead Mountain,St Cybi's Well (Anglesey centre),nearby_feature,53.3184,-4.4025,SH400828,Where St Cybi met St Seiriol,St Cybi met St Seiriol from Penmon at St Cybi's Well in the centre of Anglesey. This curious tale linking the three sites with the passage of the sun possibly has some astrological significance.,wells
North Wales,15,Holyhead Mountain,St Gwenfaen's Well,nearby_feature,53.2473,-4.61,SH259754,Quartz-pebble cure for mental illness,"Towards the southern end of Holy Island, at St Gwenfaen's Well, a traditional offering of two white quartz pebbles dropped into the water was said to cure mental illness. The spring is surrounded by the remains of a drystone well-house standing in an exposed location at the top of a cliff.",wells
North Wales,15,Holyhead Mountain,St Gwenfaen's Well Trailhead Parking,trailhead,53.2454,-4.5907,SH272751,1.8km,Trailhead / parking for Holyhead Mountain (1.8km).,hills
North Wales,16,"Llanddwyn Island, Newborough",Llanddwyn Island / St Dwynwen's Well,main,53.1386,-4.4132,SH386628,Secret / Secluded,"On the southwestern tip of Anglesey, this island is actually a narrow peninsula connected to the mainland by a slender neck of dunes. Llanddwyn is sacred to St Dwynwen, patron saint of lovers (see also Reynard's Cave), who founded an abbey there in the 5th century and you can still see the remains of 16th-century St Dwynwen's Church. Immediately west of the church is a small sandy cove and just north of this, hidden in the grassy banks just above the rocks, is St Dwynwen's Well. Local people were said to visit the well to test the faithfulness of their potential marriage partners by sprinkling crumbs of fresh bread upon the surface of the water and then placing a handkerchief over them. If the well's magic eel dragged the handkerchief under as it ate the crumbs then the lover was unfaithful. Between the ruined church and the well is a curious rock with a deep gash in the top that miraculously appeared when St Dwynwen was dying and requested one last view of the sea. St Dwynwen also had a magical ability, granted to her by an angel: any true lover who came to seek her help would either achieve the object of their desire or be cured of their passion. She had chosen the latter for herself. Access to this 'Island of Lovers' is from the large car park by the popular sandy beach then a 1.5km walk along the shore. The island itself is fringed by hidden sandy coves and ends with a lighthouse at its southernmost extremity.",wild places
North Wales,16,"Llanddwyn Island, Newborough",St Dwynwen's Church,nearby_feature,53.1375,-4.4129,SH386627,16th-century ruined church,"You can still see the remains of 16th-century St Dwynwen's Church. Immediately west of the church is a small sandy cove and just north of this, hidden in the grassy banks just above the rocks, is St Dwynwen's Well.",sacred buildings
North Wales,16,"Llanddwyn Island, Newborough",Trailhead Parking,trailhead,53.1443,-4.3852,SH405634,£; 1.5km,Trailhead / parking for Llanddwyn Island / St Dwynwen's Well (£; 1.5km).,wild places
North Wales,17,"St Seiriol's Well, Penmon",St Seiriol's Well,main,53.3063,-4.0567,SH630807,,"A rare survival of early Celtic Christianity, 6th-century St Seiriol's Well and the foundations of his circular hermit's cell stand by a rocky crag just outside medieval Penmon Priory. St Seiriol founded his monastery at Penmon next to this well, now within a stone well-house. The well had a reputation for healing and was visited by many pilgrims seeking a cure after visiting the saint's shrine. He was a great friend of St Cybi (see Holyhead Mountain) and the two would regularly meet near Llanerchymedd at the centre of the island – an indication of a possible ancient connection between these two sites at opposite ends of Anglesey. The well and the priory overlook Conwy Bay and Puffin Island, which is also known as Ynys Seiriol since the saint once also lived there and founded a monastery on the island.",wells
North Wales,18,Betws y Coed Fairy Glen & the River Conwy,Betws y Coed Fairy Glen,main,53.0722,-3.7919,SH800542,Popular £,"Flowing northwards towards the village of Betws y Coed, the river Conwy passes through the Fairy Glen, a narrow, wooded ravine strewn with boulders and rocks where the fairies are said to dwell. Narrow uneven steps lead down the side of the rocky gorge which is covered in mosses and ferns then the gorge widens into a more open area where you can sit on the rocks and contemplate the swirling waters and fairy-haunted crevices. Numerous sightings of the fairies have been reported here over the years. Further north up the Conwy valley the fairies were said to dance on the flat ground between Trefriw and Llanrwst. One young man who entered the fairy ring to dance was rescued a year later by his friends. At first, he refused to believe he had been dancing for so long but they pointed to his shoes, which had been new when he entered the fairy ring but were now tattered and worn. It was believed locally that the fairies of the river Conwy dwelt seven years on earth, seven in the air and seven underground. A fearsome afanc (water monster) was also said to inhabit a pool in the Conwy just north of Betws y Coed. It was enticed out of the pool by a beautiful young woman who lulled the beast to sleep so it could be bound in chains and dragged away overland by the two famous long-horned oxen known as Dau Ychain Banawg. They hauled the afanc westwards, through the mountain pass at Bwlch Rhiw'r Ychen the 'Ox Gap' and an area of moorland that became a pool, the Pool of the Oxen's Eye, was also named after them. Eventually the afanc was deposited in Glaslyn (see Mount Snowdon). Here we have a classic example of a British 'songline' incorporating several named landscape features.",wild places
North Wales,18,Betws y Coed Fairy Glen & the River Conwy,Trailhead Parking,trailhead,53.0751,-3.7945,SH798546,£; 600m,Trailhead / parking for Betws y Coed Fairy Glen (£; 600m).,wild places
North Wales,18,Betws y Coed Fairy Glen & the River Conwy,Trefriw,nearby_feature,53.1509,-3.8245,SH780630,Fairy dancing ground,"Further north up the Conwy valley the fairies were said to dance on the flat ground between Trefriw and Llanrwst. One young man who entered their fairy ring to dance was rescued a year later by his friends, his once-new shoes now tattered and worn.",other
North Wales,18,Betws y Coed Fairy Glen & the River Conwy,Llanrwst,nearby_feature,53.14,-3.7936,SH801618,Fairy dancing ground,"Further north up the Conwy valley the fairies were said to dance on the flat ground between Trefriw and Llanrwst. It was believed locally that the fairies of the river Conwy dwelt seven years on earth, seven in the air and seven underground.",other
North Wales,18,Betws y Coed Fairy Glen & the River Conwy,Bwlch Rhiw'r Ychen,nearby_feature,53.0677,-3.9745,SH677540,The 'Ox Gap',"The afanc of the Conwy was hauled westwards through the mountain pass at Bwlch Rhiw'r Ychen, the 'Ox Gap', by the two famous long-horned oxen known as Dau Ychain Banawg. An area of moorland that became a pool, the Pool of the Oxen's Eye, was also named after them. The afanc was eventually deposited in Glaslyn (see Mount Snowdon).",wild places
North Wales,19,"Castell Dinas Bran, Llangollen",Castell Dinas Bran,main,52.9793,-3.1589,SJ222430,Popular,"Towering over the town of Llangollen, the atmospheric ruins of Castell Dinas Bran stand atop its dramatic fairy-haunted hill. The medieval castle was built on the site of an earlier Iron Age fort that some believe was a stronghold of the legendary hero Bran the Blessed although in Arthurian lore, this location is a strong contender for the Fisher King's Grail Castle. One early version of the Grail legend names the Fisher King as Bron and the castle corbin, an old French term for raven, which is also the meaning of the name Bran. The town of Llangollen takes its name from St Collen. He was said to have confronted the fairy king Gwyn ap Nudd whose enchanted palace was concealed within the hill. Gwyn welcomed St Collen, inviting him to join the feast but the saint threw holy water over the assembled fairy court which instantly disappeared leaving St Collen alone on the hillside. The same story is also told of Glastonbury Tor but given the saint's long association with Llangollen it would seem likely that the tale originated here. One summer evening Tudur, a shepherd boy, encountered fairies dancing on the hillside. A tiny man with a fiddle was joined by a host of equally tiny dancers and the fantastic scene proved too tempting so Tudur was compelled to join them. The shepherd danced all night until his master came looking for him the next morning and broke the enchantment. The location of the encounter became known as Nant yr Ellyllon, 'Hollow of the Elves', which is likely to be the hollow on the far side of Castell Dinas Bran, away from the town. In nearby Llandyn Hall Woods on the eastern edge of Dinas Bran a vast and ancient walnut tree grew and the fairies celebrated their marriages beneath its boughs. It was cut down over 200 years ago but in the process a branch fell and killed a man – reputedly an act of revenge by the fairies at the loss of their wedding tree. Fairies were also encountered at Eglwseg Rocks a rocky escarpment running north of Dinas Bran. A man walking there one summer night saw a group of fairies accompanied by a dog. The entrance to their subterranean home was said to be a hole hidden below a stone.",hillforts
North Wales,19,"Castell Dinas Bran, Llangollen",Trailhead,trailhead,52.9813,-3.1524,SJ227432,500m,Trailhead / parking for Castell Dinas Bran (500m).,hillforts
North Wales,19,"Castell Dinas Bran, Llangollen",Llandyn Hall Woods,nearby_feature,52.977,-3.1527,SJ226428,Fairies' walnut wedding tree,"In nearby Llandyn Hall Woods, on the eastern edge of Dinas Bran, a vast and ancient walnut tree grew and the fairies celebrated their marriages beneath its boughs. It was cut down over 200 years ago but in the process a branch fell and killed a man – reputedly an act of revenge by the fairies at the loss of their wedding tree.",wild places
