Name,Description,Lat/Lng,Tags,Region,Listing no
Parkend Farmhouse (Parkend),"A ruined house not far from Dark Hill Ironworks, Ellwood. Possibly linked to the ironworks in the area. From Fountains Inn, Parkend, go L down Fountain Way. Turn R at T-junction, then first L and park at pull-in. Follow track; ruin is covered in nettles on left.","51.7710, -2.5649","[""Dramatic"", ""Lovely walk"", ""Foraging"", ""Dangerous""]",Wye Valley & Bristol Area,3
Tintern Abbey And St Mary’s,"The Cistercian Abbey at Tintern has to be one of the most well-known ruins in the country. Part of its appeal is its stunning location in this picturesque valley. The large Gothic windows frame the wooded landscape perfectly and you can tell why it helped spur the craze for romantic ruins in the 18th century. During this time, artists would come to paint the ruins in much the same way photographers visit sites nowadays. Tintern is no doubt a beautiful romantic ruin but it is not the only one worth visiting in the area. Up on the wooded hill overlooking the abbey are the remains of St Mary’s church, where a church has stood since medieval times. The present church was rebuilt in 1866 and destroyed by fire in 1977, when a young man died. Ruins are always a reminder of the transience of human life and St Mary’s is no exception. Explore with caution as the ruin is not secure. Tintern Abbey is off the A466 and well signposted. For St Mary’s, from the Abbey Hotel car park turn L and walk a few yards until you see a post box and Wye Valley Walk sign. Follow this up, past a bungalow with solar panels, up the steps and along the cobbled path. 10 minutes strenuous walk. St Mary’s 51.6965,-2.6811.","51.6968, -2.6770","[""Good for picnics"", ""Dramatic"", ""Lovely walk"", ""Cycle path"", ""Religious site"", ""English Heritage""]",Wye Valley & Bristol Area,4
Woodchester Mansion,"Despite its missing windows, missing rooms and halffinished interior, Woodchester isn’t technically a ruin but a building that was never completed. Commissioned by William Leigh, a Roman Catholic convert, it championed the then-fashionable Gothic Revival movement. Unfortunately after his death in 1873 the work stopped. Oddly, his family did not share his passion for living in a damp, draughty Gothic mansion and wanted to level Woodchester and start again. They commissioned another architect, but his plans for an elaborate Italianate style mansion proved too costly. Plans were shelved and the mansion remained unfinished and unloved. Benjamin Bucknall, William Leigh’s original architect, was no doubt heartbroken as his work was never completed. He wrote to Leigh’s son: “there is nothing more sad to the sight than an unfinished work and it is even more forlorn than a ruin of a building which has served its purpose”. Today the building is open on certain days, with tea room, guided tours and a live video of the Woodchester bat colony. Just off B4066 (Stroud to Dursley road) near Nympsfield. Check website for open days (woodchestermansion.org.uk). The mansion is set in Woodchester Park (National Trust). Minibus to mansion runs from car park 51.7110, -2.2978. Note for Sat Navs: there is no entrance from A46.","51.7106, -2.2775","[""Good for picnics"", ""Lovely walk"", ""Foraging"", ""Dangerous"", ""Cycle path""]",Wye Valley & Bristol Area,5
St James’s (Lancaut),"The 12th-century church of St James is all that remains of the medieval village of Lancaut. It lies in a picturesque loop in the river Wye forming a beautiful little peninsula of around 200 acres. In Saxon times the church would have been central to a vibrant community that lived at Lancaut. In 1710 this had dwindled to four households and by 1750 just two. By the 19th century, with a declining population and congregation, services began to take place in nearby Tidenham and only seasonal services were held at St James’s. St James Church is not far from the start of the Offa’s Dyke long distance path near Chepstow. It is well worth the diversion which branches off along the banks of the Wye at Woodcroft. It is a pleasant, moderate, 2-mile walk from Chepstow Castle (and a slightly more strenuous one back). From Chepstow head N towards Tutshill and take the B4228. After Woodcroft take L down no-through road. Park on Lancaut Lane 51.6671, -2.6670. The church is accessible via signposted footpath to right. 20 mins strenuous walk.","51.6651, -2.6709","[""Modern ruin"", ""Dramatic"", ""Lovely walk"", ""Amazing wildlife"", ""Cycle path""]",Wye Valley & Bristol Area,6
Penyard Castle (Weston Under Penyard),"Penyard Park is a throwback to the times of old country estates, with wild boar running free. The castle is nothing more than a single-walled ruin, but behind this is the more substantial ruin of Penyard House. During my visit I met the present owner who was friendly but very firm in reminding me that visitors should keep to the footpath. This only allows a distant viewing of both the house and castle but enough to make the trip worthwhile. I visited on a misty morning and watched the mist slowly clear from the wooded valley below. The view was breathtaking and stays with me as a very special moment. Head E from Ross-on-Wye on the A40. At Weston under Penyard cross the roundabout then take the R behind the church and park. Walk up the road and head past Lawns Farm and keep to the footpath. Path bends to R and castle and house are down in the field on the L. 30-40 mins moderate walk.","51.9005, -2.5563","[""UNKNOWN:I"", ""Modern ruin"", ""Foraging"", ""Dangerous"", ""Lovely walk""]",Wye Valley & Bristol Area,7
Church Of St Mary (Avenbury),"The church of St Mary’s Avenbury holds the title for being the most haunted church in Herefordshire. It is on private property but clearly visible from the footpath especially in the winter. Lanes nearby are narrow and parking limited so best to park in Bromyard and walk down. The much less wild but more accessible Brockhampton Estate is 1¾ miles north east and has a pretty little ruined chapel in the grounds. From Bromyard take the A44 by-pass E, go over the river and turn R. Continue for 1 mile follow road as it curves round to a staggered crossroads, take the road in the direction of Munderfield to the R, park next to the orchard and cross the road to follow the footpath to the church. It is hidden in a clump of trees in the RH corner of the field.","52.1755, -2.4964","[""UNKNOWN:I"", ""Lovely walk""]",Wye Valley & Bristol Area,8
St Peter’s Church (Bristol),"The two blitz-torn churches of St Peter’s and Temple Church lie close to the city centre. The roofless St Peter’s dominates Castle Park and makes for a great spot to munch on a wide range of food such as veggie samosas, goat meat curry or falafel from nearby St Nick’s market. The graveyard of Temple Church is now a public garden, perfect for a romantic stroll away from the hustle and bustle of the city. Although the ruins are locked you can still peer into the impressive St Peter’s Church. Park in the Galleries car park; Castle Park is opposite the Newgate St Exit or walk to the top of Union St, past the Galleries (BS1 3XD). Walk towards the main road from the train station and turn R, cross the roundabout and take Victoria St (signposted City Centre and Broadmead). Cross the road and take a R at Church St.","51.4520, -2.5870","[""Dramatic"", ""Lovely walk"", ""Religious site""]",Wye Valley & Bristol Area,9
Almonry Gate House (Standish),"The 14th-century gatehouse was built by the Abbot of Gloucester. It now stands at the top of a private driveway but is visible from public land. There are some nice walks around the area but those up for more of an adventure could park at the National Trust car park (GL6 6PR) and head over the hill for 2 miles. For a closer view, take B4008 N of Stonehouse for approx. 2 miles, turn L onto Standish La and park where you can. The arch is on the other side of the green.","51.7737, -2.2911","[""Dramatic""]",Wye Valley & Bristol Area,10
Goodrich Castle (Near Ross-On-Wye),"Climb to the top of the keep of this ancient castle for stunning views of the surrounding landscape. It is a great place for a family day for young and grown up families alike. There are plenty of spiral staircases to climb, battlements to look out over and even spooky dungeons. The castle was established in 11th century with the stone keep added in the mid to late 12th century. Full facilities including a café, a shop and baby changing facilities. Goodrich is 5 miles SW of Ross-on-Wye, just E of A40.","51.8767, -2.6158","[""Good for picnics"", ""Dramatic"", ""Lovely walk"", ""Amazing wildlife"", ""Dangerous"", ""English Heritage""]",Wye Valley & Bristol Area,11
Odiham Castle (North Warnborough),"Known locally as King John’s Castle. In today’s money it would have cost the equivalent of around £12 million to build. It took seven years and would have been a grand structure when work ceased in 1214. Only two years later the castle fell under siege from French forces and the tiny garrison, of just 13 people, was forced to surrender. All that is left today is part of the octagonal keep and surrounding earth works. The river and meadow leading up to the castle offer a pleasant stroll on a spring morning. Nearby, the Fox and Goose in Greywall, is an unspoilt country pub serving good food and real ales. Come off the M3 motorway at Junction 5 and follow signs to Odiham and North Warnborough on the A287 then B3349. Head through Warnborough, past the garage, take the 2nd exit at roundabout (North Warnborough St) then the first R down Tunnel Lane. Park here at 51.2597, -0.9566. Cross the bridge, then follow riverside path to R to the castle.","51.2613, -0.9616","[""Good for picnics"", ""UNKNOWN:I"", ""Dramatic"", ""Lovely walk""]",Hampshire and Isle of Wight,1
Netley Abbey (Near Bursledon),"Built in a French-influenced Gothic style, the romance of Netley Abbey was not lost on artists and poets such as John Constable and William Sotheby. After a summer afternoon walk around its cloisters you too may feel inspired to pick up a brush or a pen – or simply to pick up a sandwich, to enjoy a picnic among the majesty of this 13th century ruin. Contemporary reports say there is an underground stream accessible, with a rope running through the abbey and out to the woods (where it is gated off). A local myth suggests the tunnel is guarded by a ghostly monk. The Cistercian monks who lived at Netley Abbey from the 13th century would have had an austere existence of contemplation and self sufficiency, with few personal possessions. The nearby Cottage Pub on the Woolston Road (SO31 5FN), has low beams, real ales, friendly staff and good food. 7 miles E of Southampton. From A3025 at Old Netley, take Grange Rd towards coast. Take R at T-junction. The abbey is on your R, off Victoria Rd. The abbey is free to enter, but only open at weekends.","50.8787, -1.3575","[""Dramatic"", ""Lovely walk"", ""Amazing wildlife"", ""Religious site"", ""English Heritage""]",Hampshire and Isle of Wight,2
Wolvesey Castle (Winchester),Wolvesey Castle is a free-to-enter ruined grand house in the centre of Winchester. The city’s bishops were amongst the most powerful in the country and a large residence was needed for the wealthy bishops of Winchester. Its thick walls would have protected the resident bishop in troubled times. There are lovely walks through water meadows to the palace along the river. The palace also marks the tail end of the Clarendon Way long distance path from Salisbury. 15 minutes ¾ mile from train station.,"51.0591, -1.3099","[""English Heritage""]",Hampshire and Isle of Wight,3
Donnington Castle (Near Newbury),"The two great towers still have a commanding presence at the top of this steep hill overlooking the town of Newbury. Much of the gate-house remains along with a reconstructed outline of the curtain wall. When it was built in 1386, Donnington Castle would have overlooked two of the major roads in England, one heading north to south, the other east to west. In 1415 the castle was sold off and became the residence of Thomas Chaucer, son of the famous poet, Geoffrey Chaucer. During the Civil War, between 1644 and 1646 the castle fell under siege. Donnington eventually fell, and in April 1646 Colonel John Boys, along with his troops who were defending the castle, were granted permission to go free on account of their bravery during the siege. However, as punishment all but the gatehouse of the castle was destroyed. The vantage point of the castle means not only does it offer great views of Newbury, it is also a fantastic spot for sledging. A mile north of the site is Snelsmore Common Country Park, a beautiful spot for walkers and where it is said that you can hear the call of nightingales at dusk. From the A4 at Donnington (between A34 and A339 north of Newbury) turn N onto Oxford Road, B4494 at the Waitrose roundabout. About ½ mile, L into Castle Lane, through gates until you reach the castle car park.","51.4196, -1.3381","[""Good for picnics"", ""Dramatic"", ""Lovely walk"", ""English Heritage""]",Hampshire and Isle of Wight,4
Greenham Common (Newbury),"Compared to its potentially destructive past this is now a thoroughly pleasant place to be, home to wild flowers, dog walkers and nesting populations of wild birds. Much of the old airbase building is now a business park but in the 1980s this was home to a large proportion of the UK’s nuclear deterrent. Many of us are old enough to remember the news reports of the huge women’s peace movement camping out at the site. At the height of these protests, 70,000 people formed a human chain from Greenham to the Atomic Weapon Research centre at Aldermaston. The main missile silos are fenced off but near these, to the west of the business park, there are various buildings and a memorial to the US troops who died in the Second World War (51.3754, -1.2936). On the other side of the park the control tower still stands. Greenham is just off the A339 south of Newbury, heading to Basingstoke. Follow signs to the Greenham Common Business Park. You are able to park in the business park after hours. There is also parking at the eastern edge of the park off the Old Thornford Road 51.3781, -1.2528.","51.3773, -1.2903","[""Good for picnics"", ""Lovely walk"", ""Foraging"", ""Ghosts/haunted"", ""Cycle path"", ""UNKNOWN:K""]",Hampshire and Isle of Wight,5
Racton Folly (Near Walderton),"Racton Ruin isn’t on any tourist map but it is well known among ghost hunters, Urban Explorers (Urbex), folly enthusiasts and even devil worshippers. It is over 80 feet tall, completely gutted and roofless, giving a spectacular view of the night sky from the central tower (that is if you dare go at night). Despite its spooky credentials and obvious neglect it is an intriguing place to visit. It has the feel of somewhere teenagers go with their friends, to tell ghost stories to try and scare each other witless. It was George Montagu-Dunk, the second Earl of Halifax who commissioned Racton Folly. There is no conclusive account to say why it was built; some say it was as a summerhouse, others a viewing point to watch ships come in from the Solent. It was constructed between 1766 and 1775 and designed by Theodosius Keene, the son of Henry Keene, the architect responsible for the Radcliffe Observatory in Oxford. Nearby Compton has a lovely shop. From the A259 (off A27 between Chichester and Portsmouth) take the turning away from the coast to Southbourne station. Cross A27 take L to Westbourne, then R to Petersfield on B2147. Past church, park on R next to post box 50.8784, -0.8902 before B2146. Follow lane up to ruin.","50.8794, -0.8976","[""Lovely walk"", ""UNKNOWN:7"", ""Dramatic""]",Hampshire and Isle of Wight,6
Hurst Castle (Near Keyhaven),"As you take the ferry ride to Hurst Castle you can imagine how 17th-century prisoners must have felt as they were shipped out to England’s very own answer to Alcatraz Island. It was built by Henry VIII during a time when England was subjected to frequent French raids. It protected the passage to Southampton and to Henry’s naval base at Portsmouth, home to his flagship the ‘Mary Rose’. If you want a bit of exercise and don’t want to take the ferry, the castle is connected to the mainland by a shingle spit and it is possible to walk the 1½ miles along the narrow coastal path to the castle. Travel from Keyhaven, 4 miles SW of Lymington, off the A337. In Keyhaven, park in car park on the sea front. Take ferry (01590 642344 ) or walk to castle.","50.7072, -1.5514","[""Good for picnics"", ""Lovely walk"", ""Foraging"", ""English Heritage""]",Hampshire and Isle of Wight,7
Titchfield Abbey (Fareham),"The magnificent turreted Tudor gatehouse dwarfs the nearby remains of Titchfield Abbey itself. Established in 1232 for Premonstratensian or White Canons, the abbey was later bought by Thomas Wriothesley, 1st Earl of Southampton, who built his grand gatehouse over the nave of the existing church. It is thought that Shakespeare performed some of his plays here and it had several royal visitors including Edward VI, Elizabeth I and Charles I. The gardens are lovely to walk around in any time of year and the 13th-century tiles give a fascinating insight into the interior of this ancient building. Lovely walks along the river Meon to Titchfield Haven on the coast. Take Junction 9 off M27 to join the A27 S towards Fareham. After the second roundabout, turn L into Mill La. Park in the garden centre car park on L, and walk into ruin via the path opposite the Fishermen’s Rest pub.","50.8568, -1.2314","[""Dramatic"", ""Lovely walk"", ""Amazing wildlife"", ""Religious site"", ""English Heritage""]",Hampshire and Isle of Wight,8
St Catherine’s Oratory,"This rocket-shaped medieval building stands on one of the highest points of the island. The walk up to it can be a strenuous one but the views from this hilltop are simply amazing. The story goes that a local landowner, Walter de Godeton, was forced to build the oratory as a penance for stealing wine destined for a French monastery. 6 miles W of Ventnor off A3055. 1½ miles W of Niton, look for car park at 50.5881, -1.3079 . 10 mins strenuous walk to St Catherine’s Oratory.","50.5931, -1.3030","[""Good for picnics"", ""Modern ruin"", ""Dramatic"", ""Lovely walk"", ""Amazing wildlife"", ""Foraging""]",Hampshire and Isle of Wight,9
Bedham Church (Bedham),"The enchanting ruin of Bedham church lies within the South Downs Area of Outstanding Natural Beauty between the bluebell woods at Flexham Park and the Sussex Wildlife Trust nature reserve called The Mens. Bedham Church was built in 1880 for a thriving community of charcoal burners who lived in the surrounding area. In Bedham, like many small communities at the time, in the absence of a local school it was down to the church to provide basic education. The church was used for worship and for education, and last thing on a Friday the chairs were turned away from the children’s desks to face the altar. Follow A272 out of Petworth as it heads N then E at mini-roadabout , take 4th R signposted Bedham, down single track road for ¾ mile, you may see it through the trees on your R. Pass the ruin and park in turning place/lay-by 50.9866, -0.5512, (sat nav to RH20 1JR but stay on lane, don’t turn R) double back on yourself, pass the post box and look down to your L.","50.9882, -0.5534","[""Good for picnics"", ""Dramatic"", ""Lovely walk"", ""Cycle path"", ""Foraging"", ""Religious site""]",Sussex & the High Weald,1
Brambletye House (Forest Row),"The three remaining towers of the 17th-century mansion at Brambletye, built by Sir Henry Compton, stand incongruously on a manicured lawn in the grounds of Brambletye Manor. During the late 17th century it was bought by Sir James Richards, a man of French extraction. There are inconclusive accounts of the life of Richards. Some stories claim that whilst he was out hunting, he heard word that he was wanted for treason, on account of arms having been found in his house. He immediately fled the country for Spain and his descendants were said to have taken up high ranks in the Spanish army. Historians have cast some doubt on this story, as the date of his departure to Spain 1683 came a year before Charles II of England awarded him the title of Baronet. Head N from Forest Row on the A22 Lewes Rd. Just before the’ reduce speed now’ sign, take a L down Brambletye Rd. You can park here 51.1045, 0.0260 or follow the track down. Limited parking. The ruin is fenced off but there is plenty of it to see from this side of the fence.","51.1005, 0.0229","[""UNKNOWN:C"", ""Lovely walk"", ""Dramatic"", ""UNKNOWN:I"", ""Cycle path""]",Sussex & the High Weald,2
Bramber Castle (Bramber),"Bramber Castle feels surprisingly hidden away, despite its proximity to the village of Bramber and the Steyning bypass. The remains of the stone keep are partially surrounded by trees and perch on the top of an earlier earthwork. Adding to the wild feel of the castle is the tree-lined protective ditch that surrounds the grounds. The whole site is a fun place to bring children with a sense of adventure and interest in history. The castle was founded in 1073 and held by William de Braose, and his descendants lived there until 1450. Bramber is just off both the South Downs Way and the Monarch’s Way long distance footpaths. Travelling N from Brighton on the A283, drive past the Upper Beeding turn off, stay on the A283 then take the next exit R down Castle Lane to car park. There are English Heritage signs to the castle.","50.8832, -0.3157","[""Good for picnics"", ""Close to parking"", ""Lovely walk"", ""Dangerous"", ""English Heritage""]",Sussex & the High Weald,3
Old Knepp Castle (Dial Post),"Old Knepp Castle has been described as looking like a ‘broken tooth’ high on its mound overlooking the Worthing road. It is a good climb up to the single-arched remains which, for the best photographs, should be visited at dusk or dawn. References to a castle at Knepp date back to the mid-12th century. King John rebuilt the castle keep in stone in the early 12th century. It is suggested he would have stayed here leading up to his unsuccessful campaigns to regain lands in Normandy. As the small fields and heavy clay of Knepp estate mean it is not viable for any large scale arable farming, a unique conservation project is taking place there. Mixed farming of fallow deer, English longhorn cattle, Tamworth pigs and Dartmoor ponies (along with wild deer and rabbits) graze the land freely, creating a mosaic of habitats. This creates a viable alternative to crops whilst encouraging a diverse habitat for flora and fauna. The Countryman Inn, in nearby Shipley RH13 8PZ, is worth a stop off. Heading N on A24 between Ashington and Horsham, just after Dial Post turn L down Castle Lane (just before the R turn to B2135). Park away from the driveways before the white gates. Walk through gates, across cattle grid and follow path up to R.","50.9758, -0.3448","[""Dramatic"", ""Lovely walk"", ""Amazing wildlife"", ""Foraging"", ""Dangerous""]",Sussex & the High Weald,4
Danegate Towers (Eridge Park Estate),"The Neville Family have owned land around the Eridge Park estate for more than 900 years, at which time their land stretched from there to the coast. When Henry Neville or the 2nd Earl of Abergavenny inherited the land in 1787 he wanted to make his mark. He demolished Eridge House and built a large Gothic-style castle from which he wanted to look out over follies and landscaped vistas, without an ugly building spoiling the view, so he had the two folly towers at Danegate and Saxonbury tower built. Please note that parts of the estate are private; Saxonbury Tower can only be viewed from Danegate road near Green Hedges Nursery. Heading N from Crowborough on the A26 take a R after Eridge Station. Continue for approx. 1¾ miles past Sham Farm. Approx 230 metres after white semi-detached houses on R park on L 51.0754, 0.2332 postcode around TN3 9JA. Follow Sussex Border path until it branches R, continue forward to next field. Towers will be seen in clearing.","51.0800, 0.2370","[""Lovely walk"", ""Amazing wildlife"", ""Foraging"", ""Dangerous"", ""UNKNOWN:7""]",Sussex & the High Weald,5
Mad Jack’s Follies (Brightling),"At first sight Brightling looks like any pretty English village. It has a quaint collection of red brick houses, stone cottages, and a large manor house. There is also a large church with, in the churchyard, a large stone pyramid. The pyramid along with a temple, a ruined tower, an observatory, and large pointy building referred to as the Sugar Loaf are what makes Brightling a less than ordinary village. They were all the work of John Fuller, or Mad Jack as he became known. He was a Member of Parliament, a noted drunkard and a patron of the arts. Despite the nickname he was far from mad, for as an active philanthropist he financially supported the influential inventor Michael Faraday and bought Bodiam castle to save it from being demolished. Travel S from Tunbridge Wells or N from Hastings on A21 to Robertsbridge. Head W past station, stay on the Brightling Rd until you reach the T-junction that marks the village of Brightling. There is a pull-in at 50.9633, 0.3986 just before the T. Pyramid 50.9636, 0.3964 in the churchyard, Temple 50.9578, 0.3911, Sugar Loaf 50.9512, 0.3750, Tower 50.9606, 0.4030. Off the road between Brightling and Twelve Oaks.","50.9636, 0.3964","[""Good for picnics"", ""Lovely walk"", ""Cycle path"", ""Dangerous"", ""UNKNOWN:7""]",Sussex & the High Weald,6
Lewes Priory (Lewes),"Lewes Priory or The Priory of St Pancras, was founded in 1077 and was the first Cluniac Priory in the country. Up until this point monks had to participate in some form of hard labour, usually small-scale farming. The Cluniacs didn’t like the sound of all this hard work and instead opted for a life of quiet contemplation, copying manuscripts and other such less physical tasks. The site was once much more extensive with a great church, larger than both Durham and Chichester cathedrals. A lot conspired against Lewes in subsequent years; the dissolution of the monasteries saw the demolishing of many of the buildings there. Later the railway from Lewes to Brighton destroyed the remains of the large church, along with associated buildings. The site was once so huge that, despite all of this, the remaining ruins are substantial. There are many information panels that give you a more extended history of the site. The town of Lewes is worth a day out in itself. It has its own currency, the Lewes Pound, and many restaurants, caf é s and independent shops in which to spend it. Turn off the A27 onto A277 on the Brighton side of Lewes. After 1 mile turn R to Winterbourn Hollow, turn L on to Southover High St (B2193). Continue past Kings Head pub then follow ‘Priory Parking’ signs to Mountfield Rd car park 50.8693, 0.0110. Follow pedestrian signs to Priory Park.","50.8681, 0.0082","[""Good for picnics"", ""Dramatic"", ""Lovely walk"", ""Religious site""]",Sussex & the High Weald,7
Tide Mills (Newhaven),"Tide Mills is a derelict coastal village in East Sussex, abandoned in the 1930s. Along with the foundations of the old hospital and scattered windswept coastal remains of homes, the ruins of the old tidal mill that gives the area its name can still be seen. It would have utilised water coming in from the sea through a sluice gate to a mill pond, and as the sea retreated the three mill wheels turned. A small community grew up around the mill when it was built in 1761. A small station and a hospital once existed in the village, the remains of which can still be seen. By 1939 the last resident had been evicted due to insanitary conditions; typically, the national press sensationalised the story dubbing the small community ‘The Hamlet of Horror’. In a strange twist of fate, the empty village was later used by the army for street fighting training. The village was the setting for Lesley Thomson’s book ‘A Kind of Vanishing’. The story centres around a game of hide and seek where the seeker, Alice, instead of finding her friend Eleanor, disappears. Tide Mills is situated off the Seaford Rd A259. Heading away from Newhaven the turning is on the R just before the boundary sign to Seaford. Small height-restricted car park just off road.","50.7824, 0.0699","[""Good for picnics"", ""Lovely walk"", ""Cycle path"", ""UNKNOWN:1"", ""Foraging"", ""UNKNOWN:K""]",Sussex & the High Weald,8
Nymans Estate (Handcross),"The once grand Gothic mansion house on the Nymans Estate is now a hollowed-out romantic ruin. Despite being gutted by fire, the gardens were maintained and at any time of year there is something to see in the grounds of this exceptional estate. A wander into the woods is recommended and book lovers might find a bargain or two in the second-hand book shop. Along with the fantastic gardens, the grounds boast the tallest tree in Sussex.","51.0505, -0.1984","[""Dramatic"", ""Lovely walk"", ""Foraging"", ""Dangerous""]",Sussex & the High Weald,9
Pevensey Castle (Pevensey),"As you enter the weathered remains of Pevensey Castle via the bridge across its moat you get a sense of the importance of this stronghold. Dating from the 4th century Pevensey is one of the last standing ‘Saxon Shore’ forts built by the Romans. The castle was the landing place of William the Conqueror’s army. The dungeons, including the grated ‘Oubliette’ or forgotten place, show what a grim place this must have been to be imprisoned. Castle Road, Pevensey, East Sussex","50.8193, 0.3339","[""English Heritage""]",Sussex & the High Weald,10
Hadleigh Castle (Near Benfleet),"Hadleigh dates back to 1230 when it was under the Stewardship of Hubert de Burgh. King Edward III later set about enlarging and refortifying the site in 136070. Rather than a castle built in the sand, Hadleigh Castle was built on London clay which is susceptible to landslides. By the 17th century a mixture of this unstable land, along with neglect, had all but left the castle in ruins. The 18th and 19th-century trend for romantic ruins meant the castle came back into its own and was painted by John Constable in 1829. Today just two large towers remain, along with fragmentary sections of wall. Visit towards the end of the summer and you’ll find Hadleigh is a fantastic site for foraging, with rose-hips, haws and blackberries along with many coastal forageable goodies. The Salvation Army own nearby Hadleigh Farm and run a pleasant tea room near the site. Hadleigh is 5 miles W of Southend-on-Sea. Take Chapel La off A13 in Hadleigh just past Morrisons heading NW, park at 51.5524, 0.5946 and walk from Hadleigh Country Park (1-2 miles depending on route taken). Or take Castle La, just off High St, opposite the green in centre of Hadleigh. Limited parking at end of Castle La. 51.5474, 0.6072.","51.5441, 0.6096","[""Good for picnics"", ""Dramatic"", ""Lovely walk"", ""Amazing wildlife"", ""Cycle path"", ""Foraging"", ""English Heritage""]",Kent & Essex,1
St Radigund’s Abbey (Alkham Valley),"St Radigund’s sits within the Alkham Valley, an Area of Outstanding Natural Beauty between Dover and Folkestone. The large gatehouse still has an imposing presence making this a worthwhile stop-off during a visit to the area. It was established in 1191 by Premonstratensians or White Canons. It took more than 50 years to build and by the reign of Edward I it would have been a site of national importance. Sadly, some 200 years later, things were a different story, for by 1500 John Newynton (or Newton), the abbot, had let things slide and it was falling into a ruinous state. He was in debt and it was said that he was found drinking in taverns and using bad language. There are self-catering converted barns at the abbey (Abbey Farm Holidays), with access to parts of the site otherwise only accessible on Heritage Open Days (heritageopendays.org.uk). Alkham is 5 miles W of Dover. Head W from Buckland Hospital, Dover, at roundabout take 2nd exit, Barwick Rd for 1½ miles, then Abbey Rd to crossroads and postbox. Pull in on Minnis La or Abbey Rd itself. Avoid parking in front of local residents’ gates.","51.1326, 1.2514","[""Lovely walk"", ""Cycle path""]",Kent & Essex,2
St Mary’s (Little Chart),"The Church of St Mary is a rather lovely little ruined church set in the Kent countryside. The ivy-clad walls and large arched doorway make it a very photogenic site. It is in a very quiet and out-of-the-way area, making it a perfect place for a picnic. It dates from the mid13th century but like many churches was added to. Construction was thought to have ended around the 16th century. It was once the private Anglican church of the Darell family. When the family line leaned more towards Catholicism in the 18th century, the church was neglected and left to fall into ruin. The alreadydepleted church fell into further ruin when it took a direct hit from a stray Second World War doodlebug. Off the A20 at Charing, 6 miles NW of Ashford. Head S from Charing Station on Pluckley Rd for almost 2 miles. On L you’ll see a sign to ‘Chart Court Liveries’, turn into church car park with noticeboard 51.1869, 0.7666 rather than into the farm.","51.1866, 0.7669","[""Lovely walk"", ""Dramatic"", ""Religious site""]",Kent & Essex,3
St Mary’s (Eastwell),"The Church of St Mary Eastwell has one of the most impressive settings of any ruined church. It lies beside the largest lake in Kent in Eastwell Park. The church roof collapsed in 1951 and in 1981 it came under the care of the Friends of Friendless Churches. The 15th-century south wall and tower remain, alongside a mortuary chapel that dates from the 19th century. The church is just off the Pilgrim’s Way and the North Downs Way long distance paths. Head out of Ashford, N on A251. Follow signs to Potters Corner, down Sandyhurst La, take RH fork Lenacre St, follow for ¾ mile, then take the first R. Follow to a pull-in at approx. 51.1899, 0.8742 where the road is gated off.","51.1900, 0.8745","[""Dramatic"", ""Lovely walk"", ""Religious site""]",Kent & Essex,4
Oare Gunpowder Works (Faversham),"The ruins of Oare Gunpowder Works lie in a wooded glade with running leats, or ditches, and large open lakes. These may well be among the oldest gunpowder works in the country. In 1605 the works became notorious, for 36 barrels of gunpowder made there found their way to conspirator Guy Fawkes in his plot to blow up the Houses of Parliament. When John Hall & Son owned the factory in the Victorian era, the company had the ironic motto of ‘in tumultibus me videbus’, loosely translated as ‘whenever there is trouble we are around’. There was indeed some truth in this motto as gunpowder produced here and at nearby Chart was used during the Opium Wars (a series of conflicts in the 19th century), at the battles of Trafalgar (1805) and Waterloo (1815) as well as during the First World War. The site of Oare Gunpowder Works is now a small country park to the north of Faversham. From the A2 between Sittingbourne and Faversham take the exit on the roundabout signposted to Oare B2045. Take first L, Bysing Wood Rd, then turn R following signs into Oare Gunpowder Works. Or 333 Bus to Oare from Maidstone.","51.3247, 0.8718","[""Good for picnics"", ""UNKNOWN:I"", ""Lovely walk"", ""Amazing wildlife"", ""Ghosts/haunted""]",Kent & Essex,5
Stone Chapel (Faversham),"On a summer’s day, follow a path through waist-high corn to the ancient ruin of a stone chapel at Faversham. It lies in a field just off the old Roman Road of Watling Street, now the A2. The proximity to the Roman road is not by chance as this is a rare example of a Roman mausoleum (a tomb standing above ground) to be incorporated into a Christian church. It is not far from Oare Gunpowder Works and is a little W of Faversham, just N of the A2 – well signposted from the road. Park before the bridge in lane adjacent to the field.","51.3161, 0.8565","[""Good for picnics"", ""Religious site"", ""English Heritage""]",Kent & Essex,6
